2017-03-25 20:05:48.906251: step 0, loss = 4.68 (226.8 examples/sec; 0.564 sec/batch)
2017-03-25 20:05:52.860832: step 10, loss = 4.66 (323.7 examples/sec; 0.395 sec/batch)
2017-03-25 20:05:56.346962: step 20, loss = 4.62 (367.2 examples/sec; 0.349 sec/batch)
2017-03-25 20:06:00.124832: step 30, loss = 4.56 (338.8 examples/sec; 0.378 sec/batch)
2017-03-25 20:06:04.664241: step 40, loss = 4.40 (282.0 examples/sec; 0.454 sec/batch)
2017-03-25 20:06:11.082296: step 50, loss = 4.34 (199.4 examples/sec; 0.642 sec/batch)
2017-03-25 20:06:17.720035: step 60, loss = 4.34 (192.8 examples/sec; 0.664 sec/batch)
2017-03-25 20:06:22.825928: step 70, loss = 4.25 (250.7 examples/sec; 0.511 sec/batch)
2017-03-25 20:06:26.595785: step 80, loss = 4.18 (339.5 examples/sec; 0.377 sec/batch)
2017-03-25 20:06:30.698288: step 90, loss = 4.19 (312.0 examples/sec; 0.410 sec/batch)
2017-03-25 20:06:34.993557: step 100, loss = 4.25 (298.0 examples/sec; 0.430 sec/batch)
2017-03-25 20:06:38.772984: step 110, loss = 4.41 (338.7 examples/sec; 0.378 sec/batch)
2017-03-25 20:06:42.895483: step 120, loss = 4.09 (310.5 examples/sec; 0.412 sec/batch)
2017-03-25 20:06:46.728573: step 130, loss = 4.09 (333.9 examples/sec; 0.383 sec/batch)
2017-03-25 20:06:50.808759: step 140, loss = 4.02 (313.7 examples/sec; 0.408 sec/batch)
2017-03-25 20:06:55.007954: step 150, loss = 3.97 (304.8 examples/sec; 0.420 sec/batch)
2017-03-25 20:06:58.705248: step 160, loss = 4.01 (346.2 examples/sec; 0.370 sec/batch)
2017-03-25 20:07:02.521442: step 170, loss = 3.95 (335.4 examples/sec; 0.382 sec/batch)
2017-03-25 20:07:06.439591: step 180, loss = 3.96 (326.7 examples/sec; 0.392 sec/batch)
2017-03-25 20:07:10.635378: step 190, loss = 3.85 (305.1 examples/sec; 0.420 sec/batch)
2017-03-25 20:07:15.002613: step 200, loss = 3.88 (293.1 examples/sec; 0.437 sec/batch)
2017-03-25 20:07:18.849004: step 210, loss = 3.74 (332.8 examples/sec; 0.385 sec/batch)
2017-03-25 20:07:22.828345: step 220, loss = 3.92 (321.7 examples/sec; 0.398 sec/batch)
2017-03-25 20:07:26.713059: step 230, loss = 3.87 (329.5 examples/sec; 0.388 sec/batch)
2017-03-25 20:07:34.028654: step 240, loss = 3.82 (175.0 examples/sec; 0.732 sec/batch)
2017-03-25 20:07:41.485172: step 250, loss = 3.83 (171.7 examples/sec; 0.746 sec/batch)
2017-03-25 20:07:47.203569: step 260, loss = 3.80 (223.8 examples/sec; 0.572 sec/batch)
2017-03-25 20:07:51.992782: step 270, loss = 3.68 (267.3 examples/sec; 0.479 sec/batch)
2017-03-25 20:08:00.011926: step 280, loss = 3.61 (159.6 examples/sec; 0.802 sec/batch)
2017-03-25 20:08:07.184440: step 290, loss = 3.60 (178.5 examples/sec; 0.717 sec/batch)
2017-03-25 20:08:12.299185: step 300, loss = 3.84 (250.3 examples/sec; 0.511 sec/batch)
2017-03-25 20:08:16.197293: step 310, loss = 3.55 (328.4 examples/sec; 0.390 sec/batch)
2017-03-25 20:08:20.141095: step 320, loss = 3.50 (324.6 examples/sec; 0.394 sec/batch)
2017-03-25 20:08:24.051733: step 330, loss = 3.59 (327.3 examples/sec; 0.391 sec/batch)
2017-03-25 20:08:27.614467: step 340, loss = 3.54 (359.3 examples/sec; 0.356 sec/batch)
2017-03-25 20:08:31.169971: step 350, loss = 3.39 (360.0 examples/sec; 0.356 sec/batch)
2017-03-25 20:08:34.657455: step 360, loss = 3.67 (367.0 examples/sec; 0.349 sec/batch)
2017-03-25 20:08:38.139111: step 370, loss = 3.60 (367.6 examples/sec; 0.348 sec/batch)
2017-03-25 20:08:41.650526: step 380, loss = 3.58 (364.5 examples/sec; 0.351 sec/batch)
2017-03-25 20:08:45.178556: step 390, loss = 3.55 (362.8 examples/sec; 0.353 sec/batch)
2017-03-25 20:08:48.845385: step 400, loss = 3.54 (349.1 examples/sec; 0.367 sec/batch)
2017-03-25 20:08:52.459303: step 410, loss = 3.58 (354.2 examples/sec; 0.361 sec/batch)
2017-03-25 20:08:55.926079: step 420, loss = 3.43 (369.2 examples/sec; 0.347 sec/batch)
2017-03-25 20:08:59.391307: step 430, loss = 3.31 (369.4 examples/sec; 0.347 sec/batch)
2017-03-25 20:09:02.925553: step 440, loss = 3.41 (362.2 examples/sec; 0.353 sec/batch)
2017-03-25 20:09:06.471348: step 450, loss = 3.28 (361.0 examples/sec; 0.355 sec/batch)
